Number of Compute Workers,Repeat,Iteration,Clustering Fitness,Locality Fitness
0,1,2.390000e+09,-4.102700e+09,-3.155520e+09
0,1,2.400000e+09,-4.101370e+09,-3.151100e+09
0,1,2.410000e+09,-4.100080e+09,-3.146710e+09
0,1,2.420000e+09,-4.098670e+09,-3.142230e+09
0,1,2.430000e+09,-4.097350e+09,-3.137670e+09
0,1,2.440000e+09,-4.096020e+09,-3.133020e+09
0,1,2.450000e+09,-4.094670e+09,-3.128780e+09
0,1,2.460000e+09,-4.093350e+09,-3.124530e+09
0,1,2.470000e+09,-4.092070e+09,-3.120130e+09
0,1,2.480000e+09,-4.090740e+09,-3.115730e+09
0,1,2.490000e+09,-4.089490e+09,-3.111190e+09
0,1,2.500000e+09,-4.088160e+09,-3.106740e+09
0,1,2.510000e+09,-4.086830e+09,-3.102370e+09
0,1,2.520000e+09,-4.085550e+09,-3.098180e+09
0,1,2.530000e+09,-4.084260e+09,-3.093950e+09
0,1,2.540000e+09,-4.082980e+09,-3.089840e+09
0,1,2.550000e+09,-4.081680e+09,-3.085460e+09
0,1,2.560000e+09,-4.080380e+09,-3.081240e+09
0,1,2.570000e+09,-4.079020e+09,-3.077010e+09
0,1,2.580000e+09,-4.077680e+09,-3.073000e+09
0,1,2.590000e+09,-4.076450e+09,-3.068760e+09
0,1,2.600000e+09,-4.075190e+09,-3.064740e+09
0,1,2.610000e+09,-4.073960e+09,-3.060550e+09
0,1,2.620000e+09,-4.072660e+09,-3.056250e+09
0,1,2.630000e+09,-4.071380e+09,-3.052030e+09
0,1,2.640000e+09,-4.070080e+09,-3.048190e+09
0,1,2.650000e+09,-4.068780e+09,-3.043940e+09
0,1,2.660000e+09,-4.067490e+09,-3.040010e+09
0,1,2.670000e+09,-4.066230e+09,-3.035870e+09
0,1,2.680000e+09,-4.064910e+09,-3.031830e+09
0,1,2.690000e+09,-4.063670e+09,-3.028100e+09
0,1,2.700000e+09,-4.062410e+09,-3.023990e+09
0,1,2.710000e+09,-4.061100e+09,-3.020270e+09
0,1,2.720000e+09,-4.059850e+09,-3.016470e+09
0,1,2.730000e+09,-4.058570e+09,-3.012360e+09
0,1,2.740000e+09,-4.057280e+09,-3.008620e+09
